eta1,beta1,r1,eta2,beta2,r2,chi_eff,beta_eff,lambda0,solver_success
1.5230121011022635,1.5837916985487643,0.7378923658661873,1.0,0.5,1.0,1.2416078852277368,1.13554502163993,1.8364185560292374,1
3.5431460183793857,1.955547753009545,0.3662511422931076,1.0,0.5,1.0,0.6465693225764351,-4.566668744277696,8.53162595386416,1
3.1923893911423544,0.9336709280185668,0.638204835211697,1.0,0.5,1.0,0.6275520195815807,4.12586809463716,9.005163124000598,1
4.738112893714717,1.241228573147855,0.8591049214666546,1.0,0.5,1.0,3.5755047660676316,1.087779816920204,0.6481093270269446,1
3.502568538951676,0.4794896779705604,0.45347173293425025,1.0,0.5,1.0,0.47111229264050347,0.5617617687239336,9.722636578656523,1
4.489159636973829,3.4872674994101107,0.3611782912560897,1.0,0.5,1.0,1.2478372755277085,0.9493542285350949,1.7985171416627168,1
3.8026767349852992,1.100674777727431,0.1652756556337665,1.0,0.5,1.0,1.01735810345312,0.5066016481097754,2.3424839288878117,1
1.219530204837714,1.7005009247735265,0.47215452296164073,1.0,0.5,1.0,1.029163487568772,0.7385173383969131,2.277497168582171,1
1.6988946273084693,4.078882017124035,0.2546355114315956,1.0,0.5,1.0,1.0155705548245062,0.6342381947498353,2.32663305238024,1
1.0826108427974013,0.4583237577246796,0.5788544109319306,1.0,0.5,1.0,1.0193042100224854,0.48664343494009316,2.344385784634376,1
4.346338569683006,3.0081062084685657,0.8455906889087869,1.0,0.5,1.0,3.2196745539173923,2.4433259339414173,0.6985276054076187,1
3.7615161249140905,4.302756586966462,0.843470241260253,1.0,0.5,1.0,2.830553365580503,3.4424029517696892,0.7750641142164686,1
2.9578370408705887,4.688364793838785,0.4959903520630594,1.0,0.5,1.0,1.332452032946476,1.7444391439077935,1.6197000518413363,1
1.7319793212049437,2.2588935373738033,0.6320311387196242,1.0,0.5,1.0,1.224793996883444,1.2647023429811541,1.8345433050045312,1
1.989009187101746,4.5172700340411955,0.3056593402212274,1.0,0.5,1.0,1.0385091732393408,0.7729719399813431,2.2439985048551865,1
2.0292275192464393,1.2942669932146367,0.38435718395542884,1.0,0.5,1.0,1.077281531186397,0.600462995992625,2.176614117000091,1
0.522600501727093,3.1430227204983936,0.32590616594009464,1.0,0.5,1.0,0.9794129009209127,0.669084573223858,2.4249294206034486,1
0.8063946026957558,3.0841448862819028,0.24106105622496277,1.0,0.5,1.0,0.9964714587447127,0.5736302118405474,2.3914174109947934,1
1.8697477424881532,2.2044340543805903,0.22016187285016064,1.0,0.5,1.0,1.0121017400998982,0.5396070756195773,2.3520508654158383,1
1.4806798838844575,2.3716655766677226,0.4810950840649535,1.0,0.5,1.0,1.0679633660112957,0.9092482034556927,2.1591279243754506,1
1.6485455921877512,1.4878263407402403,0.3232536958510133,1.0,0.5,1.0,1.0286472447627943,0.5715831329826017,2.3019986307324354,1
1.672606456210839,2.413807963996579,0.26958322908120846,1.0,0.5,1.0,1.0173344781674247,0.5818813196500932,2.3305648958899523,1
2.730337685028683,1.2313066291536878,0.7707861219735558,1.0,0.5,1.0,1.911815486661001,0.9845509348335107,1.1940446260544015,1
1.3105876554276579,4.310781457546183,0.24263955587614996,1.0,0.5,1.0,1.005798502242036,0.6163816551944493,2.357038348443785,1
3.8773909937175985,3.055602019152826,0.2673240279428859,1.0,0.5,1.0,1.0785780272452226,0.6380648425785463,2.1640352357074937,1
3.9194258950579783,1.2463028476745626,0.1684573855892464,1.0,0.5,1.0,1.0192882853033007,0.5088264114639424,2.336664852122862,1
3.281255250431409,2.684841655161678,0.6076213689722205,1.0,0.5,1.0,1.6633763391475016,1.4825282524150154,1.3174900225443205,1
1.284683489111247,1.2408224492822622,0.6478583877115194,1.0,0.5,1.0,1.091648035279637,0.8212627679449507,2.1295049917473445,1
0.8639224081290837,4.375368003780631,0.44295550523199345,1.0,0.5,1.0,1.017592622280836,43.11428962789107,7.431012792653838,1
3.2827738792882,1.5655275209255992,0.2431702842342941,1.0,0.5,1.0,1.0454310462190448,0.539086057716063,2.261421067455245,1
0.5437045750795367,1.050214792242265,0.7960005430173217,1.0,0.5,1.0,0.7494320553172653,0.8470285055254899,3.1677443700293595,1
4.877734110789014,2.208961715955512,0.40299959584740275,1.0,0.5,1.0,1.3877239776307035,0.856318778321166,1.6100027597819988,1
1.7417618657066756,4.830520546172209,0.1465620842126752,1.0,0.5,1.0,1.0029996487329575,0.5288627821834858,2.3800099599376794,1
2.339302544878347,0.8431442226424302,0.29211524672135025,1.0,0.5,1.0,1.0454507114432992,0.5202173552436796,2.2652147424569455,1
4.0100353535039535,1.0188379807780619,0.5416407638092974,1.0,0.5,1.0,0.5079045279253204,-0.1437388818779495,8.873786825123291,1
2.1514736392325036,2.536408606961784,0.3667502373570287,1.0,0.5,1.0,1.0768020118567407,0.7354723296626213,2.1577506241887496,1
